Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Centre,03/05/2020,0,,0,162385,0,,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Lehigh,03/13/2021,71,82.1,31915,369318,19.2,22.2,8641.6,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Luzerne,08/04/2020,26,20.7,3407,317417,8.2,6.5,1073.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Pennsylvania,08/04/2020,754,814.7,116551,12801989,5.9,6.4,910.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Berks,10/29/2020,94,112.4,9494,421164,22.3,26.7,2254.2,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Monroe,07/28/2020,8,5.1,1580,170271,4.7,3,927.9,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Monroe,08/18/2020,4,3.4,1684,170271,2.3,2,989,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,05/30/2020,0,0.7,58,44923,0,1.6,129.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,07/08/2020,0,0.6,100,44923,0,1.3,222.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Philadelphia,01/20/2021,542,512.4,100648,1584064,34.2,32.3,6353.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Elk,01/19/2021,15,35.4,1997,29910,50.2,118.5,6676.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Philadelphia,03/18/2021,533,365.9,119444,1584064,33.6,23.1,7540.4,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Schuylkill,04/18/2020,6,9.9,267,141359,4.2,7,188.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Cumberland,10/29/2020,28,26.4,2545,253370,11.1,10.4,1004.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Mifflin,01/22/2021,22,28.9,4126,46138,47.7,62.5,8942.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Snyder,03/30/2021,4,4.7,3297,40372,9.9,11.7,8166.6,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Mifflin,03/14/2021,1,5.6,4668,46138,2.2,12.1,10117.5,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Pike,01/03/2021,4,19.4,1519,55809,7.2,34.8,2721.8,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Dauphin,10/03/2020,27,23,3952,278299,9.7,8.3,1420.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Dauphin,05/01/2020,19,18,625,278299,6.8,6.5,224.6,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Clarion,03/12/2021,7,5.6,2747,38438,18.2,14.5,7146.6,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
York,08/06/2020,41,31,2494,449058,9.1,6.9,555.4,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Monroe,09/29/2020,4,3.7,1821,170271,2.3,2.2,1069.5,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,06/07/2020,1,2.3,74,44923,2.2,5.1,164.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Monroe,03/20/2021,45,57.6,10747,170271,26.4,33.8,6311.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Forest,04/04/2021,0,0.4,1396,7247,0,5.9,19263.1,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Monroe,03/29/2021,120,76.7,11369,170271,70.5,45.1,6677,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,06/14/2020,1,1.6,85,44923,2.2,3.5,189.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Monroe,07/17/2020,7,3.6,1505,170271,4.1,2.1,883.9,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Philadelphia,05/29/2020,182,158.1,17976,1584064,11.5,10,1134.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Berks,02/07/2021,90,128.9,33613,421164,21.4,30.6,7981,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Armstrong,08/28/2020,5,5.3,318,64735,7.7,8.2,491.2,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Monroe,09/20/2020,2,2.4,1789,170271,1.2,1.4,1050.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Monroe,09/07/2020,3,3.9,1754,170271,1.8,2.3,1030.1,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Monroe,10/06/2020,12,5.3,1858,170271,7,3.1,1091.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Washington,03/14/2021,4,33.1,14187,206865,1.9,16,6858.1,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Union,02/05/2021,27,116.3,4714,44923,60.1,258.9,10493.5,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Perry,09/24/2020,3,2.3,230,46272,6.5,4.9,497.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Monroe,08/04/2020,6,5.6,1619,170271,3.5,3.3,950.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,05/14/2020,1,0.6,36,44923,2.2,1.3,80.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Philadelphia,06/01/2020,175,153.7,18332,1584064,11,9.7,1157.3,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Union,12/22/2020,55,47,2548,44923,122.4,104.6,5671.9,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Luzerne,10/16/2020,55,43.4,4692,317417,17.3,13.7,1478.2,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Monroe,06/08/2020,2,2.3,1349,170271,1.2,1.3,792.3,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Bucks,12/05/2020,493,458.1,20722,628270,78.5,72.9,3298.3,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Lebanon,08/31/2020,10,7.7,1740,141793,7.1,5.4,1227.1,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Perry,08/13/2020,7,2.1,145,46272,15.1,4.6,313.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Union,05/01/2020,1,0.9,30,44923,2.2,1.9,66.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Crawford,03/29/2021,12,7.9,6686,84629,14.2,9.3,7900.4,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Monroe,10/11/2020,9,7,1893,170271,5.3,4.1,1111.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,05/03/2020,0,0.9,30,44923,0,1.9,66.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Greene,01/08/2021,30,32.7,1973,36233,82.8,90.3,5445.3,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Union,03/24/2021,7,8.3,5361,44923,15.6,18.4,11933.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Schuylkill,10/03/2020,18,16.3,1277,141359,12.7,11.5,903.4,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
York,03/31/2021,162,158.1,39649,449058,36.1,35.2,8829.4,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Union,07/16/2020,1,1.7,112,44923,2.2,3.8,249.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Franklin,12/16/2020,87,156,7144,155027,56.1,100.6,4608.2,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Philadelphia,08/04/2020,100,123,26128,1584064,6.3,7.8,1649.4,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Tioga,03/19/2021,12,3.7,2541,40591,29.6,9.2,6260,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Washington,02/10/2021,35,49.6,13180,206865,16.9,24,6371.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Greene,12/16/2020,18,35.3,1217,36233,49.7,97.4,3358.8,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Washington,02/24/2021,16,27.1,13638,206865,7.7,13.1,6592.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Union,06/06/2020,1,2.1,73,44923,2.2,4.8,162.5,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Beaver,03/14/2021,10,24.4,12644,163929,6.1,14.9,7713.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Monroe,09/06/2020,3,3.7,1751,170271,1.8,2.2,1028.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Cameron,03/21/2021,0,0.1,267,4447,0,3.2,6004,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Greene,01/15/2021,20,27.4,2165,36233,55.2,75.7,5975.2,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
York,09/26/2020,46,48.4,4836,449058,10.2,10.8,1076.9,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Union,07/20/2020,1,1,115,44923,2.2,2.2,256,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Perry,09/09/2020,0,0.9,197,46272,0,1.9,425.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Clarion,04/02/2021,4,5.6,2853,38438,10.4,14.5,7422.3,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
York,11/29/2020,209,205,11252,449058,46.5,45.7,2505.7,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Perry,09/13/2020,1,1.1,201,46272,2.2,2.5,434.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Armstrong,11/18/2020,58,46.4,1430,64735,89.6,71.7,2209,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Pike,04/05/2021,30,20.6,3273,55809,53.8,36.9,5864.6,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Indiana,02/22/2021,11,8.1,5016,84073,13.1,9.7,5966.2,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Mercer,11/07/2020,35,35.6,1406,109424,32,32.5,1284.9,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Montgomery,01/28/2021,882,389.9,48075,830915,106.1,46.9,5785.8,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Greene,12/15/2020,31,36.7,1199,36233,85.6,101.3,3309.1,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Northampton,12/02/2020,206,166.6,9730,305285,67.5,54.6,3187.2,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lycoming,01/16/2021,73,76,7460,113299,64.4,67.1,6584.3,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Centre,08/31/2020,4,9.7,509,162385,2.5,6,313.5,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Elk,01/30/2021,4,11,2137,29910,13.4,36.8,7144.8,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Greene,01/21/2021,13,19,2278,36233,35.9,52.4,6287.1,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Fulton,03/14/2021,1,2.1,1158,14530,6.9,14.7,7969.7,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Chester,08/04/2020,23,34.6,5051,524989,4.4,6.6,962.1,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Columbia,12/07/2020,29,38.6,1769,64964,44.6,59.4,2723,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Cumberland,11/14/2020,70,84.9,3482,253370,27.6,33.5,1374.3,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Lycoming,12/21/2020,95,138.4,5140,113299,83.8,122.2,4536.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Berks,07/31/2020,14,22.9,5176,421164,3.3,5.4,1229,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Montour,11/27/2020,7,6.9,454,18230,38.4,37.6,2490.4,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Northumberland,11/24/2020,59,44,2390,90843,64.9,48.4,2630.9,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
McKean,03/18/2021,4,2.4,3115,40625,9.8,6,7667.7,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Delaware,08/02/2020,57,68.9,8989,566747,10.1,12.1,1586.1,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Mercer,11/03/2020,24,26.1,1246,109424,21.9,23.9,1138.7,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Greene,02/12/2021,13,11,2543,36233,35.9,30.4,7018.5,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Greene,02/13/2021,6,11.6,2549,36233,16.6,31.9,7035,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Lawrence,01/05/2021,62,45,4502,85512,72.5,52.6,5264.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Luzerne,10/12/2020,33,34.9,4499,317417,10.4,11,1417.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Philadelphia,09/09/2020,66,94.9,30400,1584064,4.2,6,1919.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Bucks,02/28/2021,128,154.9,45117,628270,20.4,24.6,7181.1,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Luzerne,06/03/2020,7,12.1,2788,317417,2.2,3.8,878.3,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Mercer,11/10/2020,80,47.4,1578,109424,73.1,43.3,1442.1,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Cumberland,01/12/2021,137,161,12218,253370,54.1,63.5,4822.2,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Chester,02/13/2021,97,115,29184,524989,18.5,21.9,5559,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
York,02/01/2021,180,290.6,32481,449058,40.1,64.7,7233.1,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
York,08/13/2020,50,45.7,2814,449058,11.1,10.2,626.6,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Monroe,09/22/2020,1,2,1795,170271,0.6,1.2,1054.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Chester,07/05/2020,10,23.9,3883,524989,1.9,4.5,739.6,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Columbia,02/21/2021,7,10.1,4570,64964,10.8,15.6,7034.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Lebanon,04/24/2020,16,18.6,603,141793,11.3,13.1,425.3,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Fulton,02/04/2021,3,4,1061,14530,20.6,27.5,7302.1,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Carbon,01/04/2021,62,53.4,3041,64182,96.6,83.2,4738.1,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Lackawanna,04/07/2020,34,26.1,276,209674,16.2,12.5,131.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Erie,12/02/2020,254,158.9,6113,269728,94.2,58.9,2266.4,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Clinton,12/26/2020,18,32.4,1857,38632,46.6,83.9,4806.9,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Monroe,02/08/2021,65,39.6,9005,170271,38.2,23.2,5288.6,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Chester,11/14/2020,165,135,9879,524989,31.4,25.7,1881.8,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Washington,11/17/2020,123,92.9,3352,206865,59.5,44.9,1620.4,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Sullivan,03/27/2021,0,0.4,340,6066,0,7.1,5605,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Luzerne,03/23/2021,129,72.1,26387,317417,40.6,22.7,8313,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Northampton,01/17/2021,111,199.1,20813,305285,36.4,65.2,6817.6,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Greene,11/25/2020,26,21.9,692,36233,71.8,60.3,1909.9,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Pike,12/04/2020,21,14.9,966,55809,37.6,26.6,1730.9,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Carbon,10/18/2020,7,4.7,553,64182,10.9,7.3,861.6,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Lehigh,09/19/2020,14,13.7,5517,369318,3.8,3.7,1493.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
McKean,02/01/2021,30,22.3,2794,40625,73.8,54.9,6877.5,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Northampton,07/01/2020,18,13.1,3462,305285,5.9,4.3,1134,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Allegheny,02/01/2021,225,302.7,69761,1216045,18.5,24.9,5736.7,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lehigh,06/29/2020,12,18.1,4252,369318,3.2,4.9,1151.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Bucks,09/02/2020,47,34.9,7959,628270,7.5,5.5,1266.8,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Susquehanna,08/21/2020,5,3.6,244,40328,12.4,8.9,605,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Montgomery,01/07/2021,563,480.3,40151,830915,67.8,57.8,4832.1,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Cumberland,02/11/2021,73,70.4,15308,253370,28.8,27.8,6041.8,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Armstrong,03/26/2021,9,10.3,5123,64735,13.9,15.9,7913.8,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Centre,01/08/2021,116,77.3,9706,162385,71.4,47.6,5977.2,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Jefferson,03/18/2021,9,6.3,2899,43425,20.7,14.5,6675.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Greene,01/19/2021,21,22.4,2240,36233,58,61.9,6182.2,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Wyoming,01/13/2021,10,9.9,941,26794,37.3,36.8,3512,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Crawford,12/12/2020,100,175.9,3706,84629,118.2,207.8,4379.1,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Westmoreland,10/28/2020,79,71.3,4370,348899,22.6,20.4,1252.5,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lancaster,09/01/2020,77,45.3,6878,545724,14.1,8.3,1260.3,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Venango,01/24/2021,14,13.7,3054,50668,27.6,27.1,6027.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Lawrence,07/29/2020,6,9,326,85512,7,10.5,381.2,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Clarion,03/06/2021,5,2.7,2713,38438,13,7.1,7058.1,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Fulton,03/21/2021,0,1,1165,14530,0,6.9,8017.9,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
McKean,12/17/2020,43,36,1258,40625,105.8,88.6,3096.6,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Huntingdon,03/18/2021,19,7.7,4478,45144,42.1,17.1,9919.4,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Lehigh,04/08/2020,135,145.4,1506,369318,36.6,39.4,407.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Mifflin,04/04/2021,1,8.6,4827,46138,2.2,18.6,10462.1,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Cambria,02/27/2021,3,21.6,11681,130192,2.3,16.6,8972.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cambria,01/25/2021,30,53.7,10596,130192,23,41.3,8138.7,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Somerset,03/08/2021,27,10.4,6743,73447,36.8,14.2,9180.8,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Greene,01/14/2021,44,28.9,2145,36233,121.4,79.6,5920,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Delaware,01/31/2021,133,201.4,37488,566747,23.5,35.5,6614.6,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Northampton,02/10/2021,203,150.6,24997,305285,66.5,49.3,8188.1,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Erie,03/25/2021,39,31.7,18472,269728,14.5,11.8,6848.4,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Union,01/07/2021,69,39.7,3124,44923,153.6,88.4,6954.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Northampton,04/05/2021,176,154.1,31392,305285,57.7,50.5,10282.9,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Armstrong,01/11/2021,49,55.4,4115,64735,75.7,85.6,6356.7,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Luzerne,03/02/2021,61,51.6,25090,317417,19.2,16.2,7904.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Mercer,10/25/2020,22,16.6,1023,109424,20.1,15.1,934.9,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Washington,01/24/2021,108,93.6,12132,206865,52.2,45.2,5864.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Clinton,05/07/2020,3,1,38,38632,7.8,2.6,98.4,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Wyoming,02/11/2021,3,4.9,1111,26794,11.2,18.1,4146.5,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Elk,01/04/2021,40,29,1566,29910,133.7,97,5235.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Elk,12/29/2020,23,24.7,1386,29910,76.9,82.6,4633.9,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Cambria,03/24/2021,29,18.1,12134,130192,22.3,13.9,9320.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Fulton,01/26/2021,3,8.7,1016,14530,20.6,60,6992.4,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Fulton,02/15/2021,8,3.6,1109,14530,55.1,24.6,7632.5,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Chester,05/09/2020,86,52.6,1905,524989,16.4,10,362.9,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Centre,08/07/2020,2,2.9,381,162385,1.2,1.8,234.6,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Franklin,01/03/2021,39,95.3,8949,155027,25.2,61.5,5772.5,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Lycoming,02/22/2021,45,30.9,9191,113299,39.7,27.2,8112.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Greene,12/06/2020,6,23.7,916,36233,16.6,65.4,2528.1,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Carbon,03/02/2021,7,10.6,4907,64182,10.9,16.5,7645.4,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Luzerne,09/06/2020,12,16.4,3923,317417,3.8,5.2,1235.9,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Erie,10/12/2020,19,18.9,1817,269728,7,7,673.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Beaver,01/30/2021,35,54.1,10983,163929,21.4,33,6699.9,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,11/22/2020,5027,6500.4,318005,12801989,39.3,50.8,2484,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Blair,03/14/2021,5,12.4,10833,121829,4.1,10.2,8892,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Beaver,01/08/2021,120,110.4,9470,163929,73.2,67.4,5776.9,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Bedford,04/03/2021,10,7.9,3997,47888,20.9,16.4,8346.6,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Greene,02/11/2021,9,10.7,2530,36233,24.8,29.6,6982.6,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Union,06/10/2020,2,2,80,44923,4.5,4.5,178.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Carbon,11/30/2020,28,34.4,1381,64182,43.6,53.6,2151.7,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Delaware,04/24/2020,119,117.3,3245,566747,21,20.7,572.6,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Dauphin,09/28/2020,30,16.7,3839,278299,10.8,6,1379.5,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Fayette,02/05/2021,27,35.3,9734,129274,20.9,27.3,7529.7,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Luzerne,05/02/2020,28,32,2237,317417,8.8,10.1,704.8,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Bucks,08/25/2020,25,21.7,7701,628270,4,3.5,1225.7,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Potter,11/30/2020,18,11.3,251,16526,108.9,68.3,1518.8,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Venango,09/20/2020,0,0.6,90,50668,0,1.1,177.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Greene,12/14/2020,22,34.3,1168,36233,60.7,94.6,3223.6,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Greene,12/19/2020,47,34.3,1360,36233,129.7,94.6,3753.5,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Huntingdon,04/04/2021,3,8.9,4607,45144,6.6,19.6,10205.1,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Union,12/10/2020,30,35,2067,44923,66.8,77.9,4601.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Schuylkill,12/27/2020,54,121.4,7488,141359,38.2,85.9,5297.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Chester,10/24/2020,39,41.4,7986,524989,7.4,7.9,1521.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Washington,12/20/2020,145,146,7728,206865,70.1,70.6,3735.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
